#"Progress (%)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
3850.0%,2150.40234375,324.72681719136745,0.30085906306723326,399
3860.0%,2215.79296875,320.29419641566693,0.30085906306723326,399
3870.0%,2196.041015625,333.4372768557712,0.30085906306723326,399
3880.0%,2239.52734375,328.6867019741419,0.30085906306723326,399
3890.0%,2225.16015625,341.8950867581728,0.30085906306723326,399
3900.0%,2219.255859375,321.62232078304845,0.30085906306723326,399
3910.0%,2196.8427734375,334.08233296996036,0.30085906306723326,399
3920.0%,2236.0244140625,313.6195595461549,0.30085906306723326,399
3930.0%,2184.451171875,286.1146983232009,0.30085906306723326,399
3940.0%,2123.11328125,299.44360114081604,0.30085906306723326,399
3950.0%,2108.73828125,311.1846394288354,0.30085906306723326,399
3960.0%,2137.6357421875,287.4425798856001,0.30085906306723326,399
3970.0%,2190.1376953125,291.3447600361867,0.30085906306723326,399
3980.0%,2121.677734375,297.7886329464144,0.30085906306723326,399
3990.0%,2115.7724609375,292.9371227238845,0.30085906306723326,399
4000.0%,2082.791015625,280.87765666944364,0.30085906306723326,399
4010.0%,2036.828125,297.02767665634804,0.30085906306723326,399
4020.0%,2046.52734375,283.4846428036935,0.30085906306723326,399
4030.0%,2063.4794921875,293.2867563461397,0.30085906306723326,399
4040.0%,2172.4873046875,289.5576364433262,0.30085906306723326,399
4050.0%,2107.5380859375,304.27899748602863,0.30085906306723326,399
4060.0%,2168.6533203125,291.39542835374453,0.30085906306723326,399
4070.0%,2139.134765625,301.31673042607457,0.30085906306723326,399
4080.0%,2111.7255859375,318.5992930548546,0.30085906306723326,399
4090.0%,2110.6328125,310.93091768768477,0.30085906306723326,399
4100.0%,2092.9765625,302.7510586678986,0.30085906306723326,399
4110.0%,2108.28125,312.32278370197224,0.30085906306723326,399
4120.0%,2076.8115234375,301.44374881248325,0.30085906306723326,400
4130.0%,2072.7568359375,289.2059377569067,0.30085906306723326,400
4140.0%,2097.8056640625,280.39439669066076,0.30085906306723326,400
4150.0%,2078.197265625,279.7243383769023,0.30085906306723326,400
4160.0%,2062.01171875,264.235020162986,0.30085906306723326,400
4170.0%,2075.15234375,262.6859347247996,0.30085906306723326,400
4180.0%,2026.689453125,293.9058179566396,0.30085906306723326,400
4190.0%,2090.0693359375,279.5813592167224,0.30085906306723326,400
4200.0%,2104.5576171875,288.00243945219523,0.30085906306723326,400
4210.0%,2017.8935546875,289.93926006554057,0.30085906306723326,400
4220.0%,2084.80859375,289.98528893423713,0.30085906306723326,400
